SIN,Project,BagID,DateColl,Region,Location,Latitude,Longitude,SpeciesBio,TissueBio,Length,Weight,d15N,d13C,percentC,percentN,BombED_Dry,LifeStage,commentsCust,SampleCat
459056,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,28,0.428000003,8.988143921,-18.87829018,42.25845718,8.028725624,16.94000053,juvenile,Blue Starr Oyster Farm,T0
459057,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,31.20000076,0.469999999,8.912724495,-18.81506538,41.80439377,7.453486919,16.56999969,juvenile,Blue Starr Oyster Farm,T0
459058,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,25.79999924,0.377999991,9.045593262,-18.75817871,42.80539703,7.83511591,17.53000069,juvenile,Blue Starr Oyster Farm,T0
459059,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,27.79999924,0.444000006,8.967536926,-18.42979813,41.51343536,7.521380901,17.22999954,juvenile,Blue Starr Oyster Farm,T0
459060,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,27,0.296000004,8.946231842,-18.70028496,43.13376999,7.654411316,17.48999977,juvenile,Blue Starr Oyster Farm,T0
459061,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,27.20000076,0.365999997,8.899100304,-18.67704964,41.96014404,7.607114792,16.63999939,juvenile,Blue Starr Oyster Farm,T0
459062,EVOS Production,EVOSprod-oyster-juv_BS-FLUPSY_05-2024,5/28/2024,Jinhi Bay,BLST,55.88594818,-133.2797394,Magallana gigas,viscera,25.60000038,0.31400001,9.058638573,-17.97836113,43.45222092,8.132232666,15.23999977,juvenile,Blue Starr Oyster Farm,T0
459100,EVOS Production,519,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,60,4.099999905,8.414934158,-20.68013763,46.27574539,8.089020729,20.32699966,subadult,Farm: KIS1,T1
459101,EVOS Production,519,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,56,6.5,8.673893929,-20.15559578,43.37920761,7.794995308,18.75909996,subadult,Farm: KIS1,T1
459102,EVOS Production,519,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,53,6.5,8.737110138,-20.16523743,44.58256912,8.845036507,19.82509995,subadult,Farm: KIS1,T1
459103,EVOS Production,519,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,47,4.199999809,8.666374207,-20.22704887,45.22390366,6.955604076,19.40929985,subadult,Farm: KIS1,T1
459104,EVOS Production,520,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,60,6.699999809,8.862648964,-20.76671028,47.26298904,7.449010372,20.73900032,subadult,Farm: KIS1,T1
459105,EVOS Production,520,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,46,3.700000048,8.376765251,-20.52279091,43.71946335,6.459568024,17.45949936,subadult,Farm: KIS1,T1
459106,EVOS Production,520,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,56,5.699999809,8.348595619,-20.38288879,45.37184906,7.968811512,20.2201004,subadult,Farm: KIS1,T1
459107,EVOS Production,520,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,49,5.099999905,8.512196541,-19.95313263,43.99238205,8.697094917,19.93589973,subadult,Farm: KIS1,T1
459108,EVOS Production,521,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,64,6.199999809,8.737254143,-20.45233345,43.75344086,6.597475052,19.36230087,subadult,Farm: KIS1,T1
459109,EVOS Production,521,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,45,3.200000048,8.908192635,-20.48113823,44.70278549,7.230156422,18.44260025,subadult,Farm: KIS1,T1
459110,EVOS Production,521,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,54,6,8.588068008,-20.21264839,44.45233536,8.949443817,19.41720009,subadult,Farm: KIS1,T1
459111,EVOS Production,521,9/6/2024,Kodiak,KIS1,57.76710892,-152.4104309,Magallana gigas,Whole,42,4.199999809,8.432052612,-20.91838646,44.325737,7.008005142,19.54910088,subadult,Farm: KIS1,T1
459172,EVOS Production,507,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,61,5.5,7.962045193,-21.45338821,44.1777153,8.356572151,19.12759972,subadult,Farm: SBO1,T1
459173,EVOS Production,507,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,75,3.799999952,7.943692684,-21.43855286,44.49290848,6.869444847,19.53050041,subadult,Farm: SBO1,T1
459174,EVOS Production,507,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,57,3.599999905,8.208305359,-21.45366478,43.46255493,7.217163086,16.71409988,subadult,Farm: SBO1,T1
459175,EVOS Production,507,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,60,5.699999809,8.070727348,-21.70558739,45.50238037,6.829713345,20.27510071,subadult,Farm: SBO1,T1
459176,EVOS Production,508,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,76,5.300000191,8.263783455,-22.23976326,45.71467972,6.672014236,19.79719925,subadult,Farm: SBO1,T1
459177,EVOS Production,508,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,57,3,8.457260132,-21.3193531,44.05047989,5.738386631,18.90769958,subadult,Farm: SBO1,T1
459178,EVOS Production,508,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,62,3.599999905,8.225955009,-22.32067108,44.65849304,6.263504982,19.76420021,subadult,Farm: SBO1,T1
459179,EVOS Production,508,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,66,3.700000048,7.916597843,-21.5211525,44.41569519,7.472960949,18.84880066,subadult,Farm: SBO1,T1
459180,EVOS Production,509,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,69,5.699999809,8.082098007,-21.54349899,44.61551285,7.564747334,19.28009987,subadult,Farm: SBO1,T1
459181,EVOS Production,509,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,56,4.300000191,7.664378166,-21.06686974,41.53576279,7.558954716,18.41259956,subadult,Farm: SBO1,T1
459182,EVOS Production,509,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,76,5.300000191,8.183812141,-22.3366127,45.40861893,7.049354076,20.21269989,subadult,Farm: SBO1,T1
459183,EVOS Production,509,9/17/2024,PWS,SBO1,60.65705109,-145.89151,Magallana gigas,Whole,58,4.400000095,7.903232574,-21.73371696,44.42441177,7.891571045,19.84350014,subadult,Farm: SBO1,T1
459304,EVOS Production,504,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,84,9.800000191,7.97460556,-21.20598793,43.08991623,8.429278374,19.11840057,subadult,Farm: ROK1,T1
459305,EVOS Production,504,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,65,5.199999809,7.902171612,-21.25873947,43.86258698,10.97319126,20.25519943,subadult,Farm: ROK1,T1
459306,EVOS Production,504,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,72,5.5,8.484028816,-20.75258255,41.12319183,9.128927231,19.56679916,subadult,Farm: ROK1,T1
459307,EVOS Production,504,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,67,5.900000095,7.969294548,-21.42077065,44.71474457,9.705410004,19.66290092,subadult,Farm: ROK1,T1
459308,EVOS Production,505,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,65,5.5,8.37696743,-22.30304337,46.97849655,8.959445953,21.23500061,subadult,Farm: ROK1,T1
459309,EVOS Production,505,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,75,9.199999809,8.283560753,-22.25387001,48.21849823,8.846141815,20.70910072,subadult,Farm: ROK1,T1
459310,EVOS Production,505,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,70,9.199999809,8.046211243,-21.13486481,43.73326111,10.21203232,20.05999947,subadult,Farm: ROK1,T1
459311,EVOS Production,505,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,77,9.100000381,8.708544731,-21.77735138,44.48833084,5.624042988,19.7215004,subadult,Farm: ROK1,T1
459312,EVOS Production,506,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,75,9.100000381,8.44050312,-21.83265114,45.7408638,8.12928772,21.05789948,subadult,Farm: ROK1,T1
459313,EVOS Production,506,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,69,6,8.267085075,-22.26601982,46.41242599,8.660015106,20.93980026,subadult,Farm: ROK1,T1
459314,EVOS Production,506,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,75,5.400000095,8.268702507,-21.82061958,44.02562332,7.452384949,20.70159912,subadult,Farm: ROK1,T1
459315,EVOS Production,506,9/17/2024,PWS,ROK1,60.56290054,-145.9604645,Magallana gigas,Whole,60,4.599999905,8.218465805,-22.2520752,46.60838318,8.318417549,20.1595993,subadult,Farm: ROK1,T1
459316,EVOS Production,501,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,80,10.19999981,7.40077734,-21.21188927,43.4105072,8.878272057,19.31459999,subadult,Farm: SBR1,T1
459317,EVOS Production,501,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,62,8.5,5.756500244,-22.28289795,34.18264389,5.595955372,20.71150017,subadult,Farm: SBR1,T1
459318,EVOS Production,501,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,69,7.699999809,5.634811401,-21.24638557,29.68161201,6.691818237,19.33699989,subadult,Farm: SBR1,T1
459319,EVOS Production,501,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,67,7.099999905,6.041737556,-21.14216232,37.77872849,7.440339088,19.3451004,subadult,Farm: SBR1,T1
459320,EVOS Production,502,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,80,6.699999809,7.996679783,-21.95100594,50.17900085,8.374018669,19.89380074,subadult,Farm: SBR1,T1
459321,EVOS Production,502,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,69,6.900000095,7.472275734,-22.11130905,44.64953613,6.950438499,20.68490028,subadult,Farm: SBR1,T1
459322,EVOS Production,502,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,67,6.800000191,7.619805813,-22.01275826,49.24556351,7.904269695,18.81340027,subadult,Farm: SBR1,T1
459323,EVOS Production,502,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,80,7.199999809,7.878447533,-22.06816101,47.34803009,8.194648743,20.34760094,subadult,Farm: SBR1,T1
459324,EVOS Production,503,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,78,6.599999905,8.15818119,-21.47787094,44.91321564,5.87074995,19.45859909,subadult,Farm: SBR1,T1
459325,EVOS Production,503,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,85,12.10000038,7.433319569,-21.23071671,43.34866333,8.643193245,19.3647995,subadult,Farm: SBR1,T1
459326,EVOS Production,503,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,73,7.5,7.471871853,-21.30330086,43.62541962,8.551704407,19.36450005,subadult,Farm: SBR1,T1
459327,EVOS Production,503,9/17/2024,PWS,SBR1,60.63697815,-146.0044708,Magallana gigas,Whole,70,6.099999905,7.323517323,-21.14929581,44.28117752,9.753260612,19.05929947,subadult,Farm: SBR1,T1
459388,EVOS Production,510,9/19/2024,KBY,SSF1,59.46033096,-151.5187836,Magallana gigas,Whole,73,6.900000095,7.659941673,-19.84511185,43.40790558,9.324638367,19.99740028,subadult,Farm: SSF1,T1
459389,EVOS Production,510,9/19/2024,KBY,SSF1,59.46033096,-151.5187836,Magallana gigas,Whole,53,4.599999905,7.704800129,-20.08073616,43.54493713,8.284205437,19.28989983,subadult,Farm: SSF1,T1
459390,EVOS Production,510,9/19/2024,KBY,SSF1,59.46033096,-151.5187836,Magallana gigas,Whole,66,4.199999809,8.731206894,-19.79557991,42.54341125,8.034358978,19.07320023,subadult,Farm: SSF1,T1
459391,EVOS Production,510,9/19/2024,KBY,SSF1,59.46033096,-151.5187836,Magallana gigas,Whole,54,4.099999905,7.384039402,-19.99923134,44.29116058,8.956446648,19.98089981,subadult,Farm: SSF1,T1
