Oyster,Genetics/origin,Age,Whole_weight_g,Wet_meat_weight_g,Shell_height_mm,Shell_length_mm,Shell_depth_mm,,,,,,,,,,,,,,,,,,,
43,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.78,0.51,32,23,11,,,,,,,,,,,,,,,,,,,
44,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.78,0.53,30,22,13,,,,,,,,,,,,,,,,,,,
45,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.8,0.3,27,24,11,,,,,,,,,,,,,,,,,,,
46,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.38,0.47,27,21,10,,,,,,,,,,,,,,,,,,,
47,"Generic, Hawaiin, Blue Starr","5/8"" seed",3.36,0.7,35,22,11,,,,,,,,,,,,,,,,,,,
48,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.42,0.31,25,20,10,,,,,,,,,,,,,,,,,,,
49,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.68,0.27,27,19,10,,,,,,,,,,,,,,,,,,,
50,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.14,0.19,22,17,7,,,,,,,,,,,,,,,,,,,
51,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.33,0.14,27,15,7,,,,,,,,,,,,,,,,,,,
52,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.29,0.21,24,19,6,,,,,,,,,,,,,,,,,,,
53,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.17,0.43,29,18,8,,,,,,,,,,,,,,,,,,,
54,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.08,0.44,26,12,10,,,,,,,,,,,,,,,,,,,
55,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.36,0.52,29,20,10,,,,,,,,,,,,,,,,,,,
56,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.61,0.32,25,17,7,,,,,,,,,,,,,,,,,,,
57,"Generic, Hawaiin, Blue Starr","5/8"" seed",0.97,0.16,23,17,6,,,,,,,,,,,,,,,,,,,
58,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.3,0.27,23,20,6,,,,,,,,,,,,,,,,,,,
59,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.54,0.19,26,17,6,,,,,,,,,,,,,,,,,,,
60,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.75,0.24,27,18,8,,,,,,,,,,,,,,,,,,,
61,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.41,0.21,20,18,6,,,,,,,,,,,,,,,,,,,
62,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.21,0.18,23,17,5,,,,,,,,,,,,,,,,,,,
63,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.54,0.26,24,19,7,,,,,,,,,,,,,,,,,,,
64,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.43,0.2,25,17,8,,,,,,,,,,,,,,,,,,,
65,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.21,0.21,23,19,6,,,,,,,,,,,,,,,,,,,
66,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.12,0.39,26,21,10,,,,,,,,,,,,,,,,,,,
67,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.37,0.2,25,19,7,,,,,,,,,,,,,,,,,,,
68,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.79,0.3,23,18,7,,,,,,,,,,,,,,,,,,,
69,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.59,0.3,24,17,7,,,,,,,,,,,,,,,,,,,
70,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.32,0.24,26,17,5,,,,,,,,,,,,,,,,,,,
71,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.79,0.25,25,18,8,,,,,,,,,,,,,,,,,,,
72,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.54,0.36,23,16,5,,,,,,,,,,,,,,,,,,,
73,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.46,0.3,23,16,5,,,,,,,,,,,,,,,,,,,
74,"Generic, Hawaiin, Blue Starr","5/8"" seed",0.98,0.08,19,11,6,,,,,,,,,,,,,,,,,,,
75,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.33,0.2,19,11,7,,,,,,,,,,,,,,,,,,,
76,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.27,0.21,20,11,6,,,,,,,,,,,,,,,,,,,
77,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.7,0.26,25,12,7,,,,,,,,,,,,,,,,,,,
78,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.85,0.3,23,19,6,,,,,,,,,,,,,,,,,,,
79,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.54,0.34,28,18,7,,,,,,,,,,,,,,,,,,,
80,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.03,0.44,25,20,7,,,,,,,,,,,,,,,,,,,
81,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.68,0.33,22,17,6,,,,,,,,,,,,,,,,,,,
82,"Generic, Hawaiin, Blue Starr","5/8"" seed",1,0.19,19,9,4,,,,,,,,,,,,,,,,,,,
83,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.35,0.45,27,23,5,,,,,,,,,,,,,,,,,,,
84,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.4,0.28,21,15,7,,,,,,,,,,,,,,,,,,,
85,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.27,0.19,23,15,7,,,,,,,,,,,,,,,,,,,
86,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.75,0.27,27,18,7,,,,,,,,,,,,,,,,,,,
87,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.25,0.32,21,12,5,,,,,,,,,,,,,,,,,,,
88,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.04,0.4,29,18,9,,,,,,,,,,,,,,,,,,,
89,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.06,0.44,25,23,8,,,,,,,,,,,,,,,,,,,
90,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.64,0.31,28,17,7,,,,,,,,,,,,,,,,,,,
91,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.28,0.24,23,18,8,,,,,,,,,,,,,,,,,,,
92,"Generic, Hawaiin, Blue Starr","5/8"" seed",1,0.17,19,16,6,,,,,,,,,,,,,,,,,,,
93,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.47,0.33,26,15,6,,,,,,,,,,,,,,,,,,,
94,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.79,0.22,28,20,6,,,,,,,,,,,,,,,,,,,
95,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.8,0.28,27,18,8,,,,,,,,,,,,,,,,,,,
96,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.54,0.27,23,16,7,,,,,,,,,,,,,,,,,,,
97,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.06,0.28,20,16,6,,,,,,,,,,,,,,,,,,,
98,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.36,0.21,22,17,7,,,,,,,,,,,,,,,,,,,
99,"Generic, Hawaiin, Blue Starr","5/8"" seed",1.87,0.4,29,17,10,,,,,,,,,,,,,,,,,,,
100,"Generic, Hawaiin, Blue Starr","5/8"" seed",2.29,0.58,24,18,10,,,,,,,,,,,,,,,,,,,
